filename,width,height,class,xmin,ymin,xmax,ymax
336090828_939113523935894_857057614776083733_n_cropped_jpg.rf.cc38d7e0cd66d2402221f09af6209168.jpg,640,640,spaghetti,112,442,231,564
336090828_939113523935894_857057614776083733_n_cropped_jpg.rf.cc38d7e0cd66d2402221f09af6209168.jpg,640,640,spaghetti,90,355,211,434
336090828_939113523935894_857057614776083733_n_cropped_jpg.rf.cc38d7e0cd66d2402221f09af6209168.jpg,640,640,spaghetti,47,251,187,357
336090828_939113523935894_857057614776083733_n_cropped_jpg.rf.cc38d7e0cd66d2402221f09af6209168.jpg,640,640,spaghetti,0,166,133,314
336090828_939113523935894_857057614776083733_n_cropped_jpg.rf.cc38d7e0cd66d2402221f09af6209168.jpg,640,640,spaghetti,248,167,408,310
336090828_939113523935894_857057614776083733_n_cropped_jpg.rf.cc38d7e0cd66d2402221f09af6209168.jpg,640,640,spaghetti,279,31,394,176
336090828_939113523935894_857057614776083733_n_cropped_jpg.rf.cc38d7e0cd66d2402221f09af6209168.jpg,640,640,spaghetti,339,0,431,52
336090828_939113523935894_857057614776083733_n_cropped_jpg.rf.cc38d7e0cd66d2402221f09af6209168.jpg,640,640,spaghetti,34,83,127,158
336090828_939113523935894_857057614776083733_n_cropped_jpg.rf.cc38d7e0cd66d2402221f09af6209168.jpg,640,640,spaghetti,388,275,507,380
336090828_939113523935894_857057614776083733_n_cropped_jpg.rf.cc38d7e0cd66d2402221f09af6209168.jpg,640,640,spaghetti,444,486,580,590
336090828_939113523935894_857057614776083733_n_cropped_jpg.rf.cc38d7e0cd66d2402221f09af6209168.jpg,640,640,spaghetti,365,406,465,501
336090828_939113523935894_857057614776083733_n_cropped_jpg.rf.cc38d7e0cd66d2402221f09af6209168.jpg,640,640,spaghetti,403,136,483,239
ff0qhi04fwea1_cropped_jpg.rf.d0c3cb126d0f67706acab08cfdfacb5e.jpg,640,640,spaghetti,233,96,362,197
ff0qhi04fwea1_cropped_jpg.rf.d0c3cb126d0f67706acab08cfdfacb5e.jpg,640,640,spaghetti,260,189,366,248
ff0qhi04fwea1_cropped_jpg.rf.d0c3cb126d0f67706acab08cfdfacb5e.jpg,640,640,spaghetti,399,281,461,374
ff0qhi04fwea1_cropped_jpg.rf.d0c3cb126d0f67706acab08cfdfacb5e.jpg,640,640,spaghetti,468,286,529,377
ff0qhi04fwea1_cropped_jpg.rf.d0c3cb126d0f67706acab08cfdfacb5e.jpg,640,640,spaghetti,469,156,527,239
